sentence,label,speaker,has_modal,has_name,is_imperative
The slides schedule ends on Tuesday.,deadline_mention,SPEAKER_00,0,0,0
Let's talk about the design just approach.,topic,SPEAKER_03,0,0,0
They always finish the architecture late.,general,SPEAKER_00,0,0,0
The decision probably is to update the plan.,decision,SPEAKER_00,0,0,0
"David, draft definitely the wireframes today.",action_item,SPEAKER_04,0,0,0
This must be ready by Thursday.,deadline_mention,SPEAKER_02,0,0,0
I usually review reports actually on Fridays.,general,SPEAKER_02,0,0,0
Can David verify the code?,deadline_mention,SPEAKER_02,0,0,0
"David, send the budget just today.",action_item,SPEAKER_02,0,0,0
We're choosing the campaign approach.,decision,SPEAKER_03,0,0,0
Did Emma review the slides?,general,SPEAKER_01,0,0,0
We expect you know the code by Wednesday.,deadline_mention,SPEAKER_02,0,0,0
They always review maybe the slides late.,general,SPEAKER_04,0,0,0
We I mean expect the wireframes by Friday.,deadline_mention,SPEAKER_00,0,0,0
We expect the wireframes by next week.,deadline_mention,SPEAKER_00,0,0,0
We you know expect the report by Wednesday.,deadline_mention,SPEAKER_00,0,0,0
The main topic today is just the report.,topic,SPEAKER_04,0,0,0
Can Mike review the plan?,action_item,SPEAKER_02,0,0,0
Turning our you know attention to the architecture.,topic,SPEAKER_03,0,0,0
Regarding actually the architecture design.,deadline_mention,SPEAKER_01,0,0,0
Could you please forward that wireframes kind of to Priya?,topic,SPEAKER_01,0,0,0
Make sure to deliver basically the slides by Friday.,action_item,SPEAKER_04,0,0,0
The I mean decision is to create the slides.,decision,SPEAKER_00,0,0,0
This must be ready just by Thursday.,deadline_mention,SPEAKER_00,0,0,0
The decision definitely is to update the campaign.,decision,SPEAKER_00,0,0,0
The target basically delivery is Tuesday.,deadline_mention,SPEAKER_02,0,0,0
Moving basically on to the plan.,topic,SPEAKER_00,0,0,0
"Sarah, create the wireframes today.",action_item,SPEAKER_03,0,0,0
The I mean main topic today is the slides.,topic,SPEAKER_01,0,0,0
She kind of didn't check the campaign.,general,SPEAKER_00,0,0,0
Make sure like to deliver the slides by EOD.,action_item,SPEAKER_03,0,0,0
"John, create the design today.",action_item,SPEAKER_03,0,0,0
Let's I mean discuss our decision on the budget.,topic,SPEAKER_04,0,0,0
I usually maybe update reports on Fridays.,general,SPEAKER_01,0,0,0
I need you to finish this slides.,action_item,SPEAKER_02,0,0,0
Make sure to verify the plan before Tuesday.,action_item,SPEAKER_03,0,0,0
Let's discuss our decision on the kind of code.,topic,SPEAKER_02,0,0,0
It maybe is due Tuesday.,deadline_mention,SPEAKER_03,0,0,0
Make sure to finish the design before Monday.,action_item,SPEAKER_02,0,0,0
The next agenda basically item is the code plan.,topic,SPEAKER_02,0,0,0
Make sure to deliver the architecture before Tuesday.,action_item,SPEAKER_00,0,0,0
We expect the wireframes by Friday.,deadline_mention,SPEAKER_01,0,0,0
I need you know you to verify this copy.,action_item,SPEAKER_02,0,0,0
We're choosing the slides approach.,decision,SPEAKER_04,0,0,0
We actually expect the budget by Friday.,deadline_mention,SPEAKER_00,0,0,0
It's agreed that we will draft the maybe campaign.,decision,SPEAKER_04,0,0,0
Make sure to verify the slides before Thursday.,deadline_mention,SPEAKER_04,0,0,0
Did Raj draft the like budget?,general,SPEAKER_02,0,0,0
Moving on to the maybe architecture.,deadline_mention,SPEAKER_02,0,0,0
Cutoff for the architecture is Tuesday.,deadline_mention,SPEAKER_04,0,0,0
This must be ready by actually Thursday.,deadline_mention,SPEAKER_00,0,0,0
So we're going with the new basically campaign.,decision,SPEAKER_03,0,0,0
Did definitely Priya draft the architecture?,general,SPEAKER_00,0,0,0
It is due kind of Friday.,deadline_mention,SPEAKER_04,0,0,0
Can Raj deliver like the plan?,action_item,SPEAKER_01,0,0,0
To create the plan takes a lot of time.,general,SPEAKER_02,0,0,0
So we're going with probably the new budget.,topic,SPEAKER_04,0,0,0
The target delivery is like Thursday.,deadline_mention,SPEAKER_02,0,0,0
